タブ,,,,,,,,ID,項目名,表示条件,値,選択要素,規定値,最小値,最大値,型,小数点以下,単位,備考
全般,○,,,,,,,bsc_name,住宅の名称,,,,○○○○邸,,,text,,,
,○,,,,,,,bsc_kyoshitsu_kousei,居室の構成,,1,主たる居室とその他の居室、非居室で構成される,1,1,2,short,,,
,,,,,,,,,,,2,それ以外の構成,,,,,,,
,,○,,,,,,bsc_sonotakyoshitsu,その他居室の有無,「居室の構成」=2,1,有,1,1,2,short,,,
,,,,,,,,,,,2,無,,,,,,,
,,○,,,,,,bsc_hikyoshitsu,非居室の有無,「居室の構成」=2,1,有,1,1,2,short,,,
,,,,,,,,,,,2,無,,,,,,,
,○,,,,,,,bsc_nobeyuka_menseki,床面積の合計,,,,120.08,1.00,5000,decimal,2,m2,
,○,,,,,,,bsc_shukyoshitsu_menseki,主たる居室の床面積,,,,29.81,1.00,5000,short,2,m2,"「主居室の床面積」と「その他の床居室の面積」の合計値が「床面積の合計」を超えてはいけない。"
,,〇,,,,,,bsc_sonotakyoshitsu_menseki,その他の居室の床面積,「居室の構成」=2,,,51.34,1.00,5000,short,2,m2,"「主居室の床面積」と「その他の床居室の面積」の合計値が「床面積の合計」を超えてはいけない。"
,○,,,,,,,env_chiki,省エネルギー基準地域区分,,1,1地域（Ⅰa地域）,6,1,8,short,,,
,,,,,,,,,,,2,2地域（Ⅰb地域）,,,,,,,
,,,,,,,,,,,3,3地域（Ⅱ地域）,,,,,,,
,,,,,,,,,,,4,4地域（Ⅲ地域）,,,,,,,
,,,,,,,,,,,5,5地域（Ⅳa地域）,,,,,,,
,,,,,,,,,,,6,6地域（Ⅳb地域）,,,,,,,
,,,,,,,,,,,7,7地域（Ⅴ地域）,,,,,,,
,,,,,,,,,,,8,8地域（Ⅵ地域）,,,,,,,
,○,,,,,,,bsc_solarlv_specify,年間日射地域区分を指定する。（太陽光発電又は太陽熱温水パネルを設置する場合は必ず選択してください。）,,1,指定しない,1,1,2,short,,,
,,,,,,,,,,,2,指定する,,,,,,,
,,○,,,,,,bsc_solarlv,年間日射地域区分,「年間日射地域区分の指定」=2,1,A1区分（年間の日射量が特に少ない地域）,-,1,5,short,,,
,,,,,,,,,,,2,A2区分（年間の日射量が少ない地域）,,,,,,,
,,,,,,,,,,,3,A3区分（年間の日射量が中程度の地域）,,,,,,,
,,,,,,,,,,,4,A4区分（年間の日射量が多い地域）,,,,,,,
,,,,,,,,,,,5,A5区分（年間の日射量が特に多い地域）,,,,,,,
,〇,,,,,,,sh_nisshanetsu,暖房期日射量地域区分,,1,H1区分(暖房期の日射量が特に少ない地域),3,1,5,short,,,
,,,,,,,,,,,2,H2区分(暖房期の日射量が少ない地域),,,,,,,
,,,,,,,,,,,3,H3区分(暖房期の日射量が中程度の地域) [規定値],,,,,,,
,,,,,,,,,,,4,H4区分(暖房期の日射量が多い地域),,,,,,,
,,,,,,,,,,,5,H5区分(暖房期の日射量が特に多い地域),3,1,5,short,,,
,〇,,,,,,,sh_nisshanetsu,冷房期日射量地域区分,,1,C1区分(冷房期の日射量が特に少ない地域),,,,,,,
,,,,,,,,,,,2,C2区分(冷房期の日射量が少ない地域),,,,,,,
,,,,,,,,,,,3,C3区分(冷房期の日射量が中程度の地域),,,,,,,
,,,,,,,,,,,4,C4区分(冷房期の日射量が多い地域),,,,,,,
,,,,,,,,,,,5,C5区分(冷房期の日射量が特に多い地域),,,,,,,
,〇,,,,,,,,外部風速(立地・気候条件(自然風の利用・制御)),,1,1 m/s 以下,1,1,3,short,,,
,,,,,,,,,,,2,1〜2 m/s,,,,,,,
,,,,,,,,,,,3,2 m/s 以上,,,,,,,
,〇,,,,,,,,敷地周辺の密集度(立地・気候条件(自然風の利用・制御)),,1,立地1: 都市型の立地(区域建蔽率が20%超),1,1,2,short,,,
,,,,,,,,,,,2,立地2: 郊外型の立地(区域建蔽率が20%以下),,,,,,,
,〇,,,,,,,,敷地周辺の密集度(立地・気候条件(昼光利用)),,1,立地1 : 太陽光の利用が困難な過密・高層型の立地,1,1,3,short,,,
,,,,,,,,,,,2,立地2 : 太陽光の利用に⼯夫が必要な過密型の立地,,,,,,,
,,,,,,,,,,,3,立地3 : 太陽光の利用が容易な郊外型の立地,,,,,,,
,〇,,,,,,,,隣棟の影響,,1,評価する,1,1,2,short,,,
,,,,,,,,,,,2,評価しない,,,,,,,
,,〇,,,,,,,敷地周辺の密集度(隣棟の影響),,1,立地1 : 密集している市街地,1,1,3,short,,,
,,,,,,,,,,「隣棟の影響」=1,2,立地2 : 密集していない市街地,,,,,,,
,,,,,,,,,,,3,立地3 : 郊外,,,,,,,
,〇,,,,,,,,自立循環型住宅の設計目標像（典型タイプ）の選択,,1,住宅タイプ1 (伝統的自然生活指向),1,1,3,short,,,
,,,,,,,,,,,2,住宅タイプ2 (自然生活指向),,,,,,,
,,,,,,,,,,,3,住宅タイプ3 (設備生活指向,,,,,,,
自然風,〇,,,,,,,,主たる居室　自然風の利用の有無,,1,⾃然⾵を利用しない・評価しない,1,1,3,short,,,
,,,,,,,,,,,2,⾃然⾵の利用手法を選択して省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,換気回数を選択して省エネルギー効果を評価する,,,,,,,
,,〇,,,,,,,主たる居室　高窓の利用の有無,「主たる居室 自然風の利用の有無」=2,1,利用しない,1,1,2,short,,,
,,,,,,,,,,,2,利用する,,,,,,,
,,,〇,,,,,,主たる居室　【手法１】通風経路上の開口面積の確保,「主たる居室　高窓の利用の有無」=1,1,開⼝部面積を確保していない,1,1,3,short,,,
,,,,,,,,,,,2,開⼝部面積（⼩）の組み合わせを確保している（手法1a）,,,,,,,
,,,,,,,,,,,3,• 開⼝部面積（⼤）の組み合わせを確保している（手法1b）,,,,,,,
,,,〇,,,,,,主たる居室　【手法3】高窓の利用,「主たる居室　高窓の利用の有無」=2,1,開⼝部面積を確保していない,1,1,3,short,,,
,,,,,,,,,,,2,開⼝部面積（⼩）の組み合わせを確保している（手法3a）,,,,,,,
,,,,,,,,,,,3,• 開⼝部面積（⼤）の組み合わせを確保している（手法3b）,,,,,,,
,,〇,,,,,,,主たる居室　【手法2】卓越風向に応じた開口部配置,「主たる居室 自然風の利用の有無」=2 かつ 「敷地周辺の密集度」=2,1,適用しない,1,1,2,short,,,
,,,,,,,,,,,2,適用する,,,,,,,
,,〇,,,,,,,主たる居室　換気回数を入力する,「主たる居室 自然風の利用の有無」=3,,,0,0,50,decimal,0,,
,〇,,,,,,,,その他の居室　 自然風の利用の有無,,1,⾃然⾵を利用しない・評価しない,1,1,3,short,,,
,,,,,,,,,,,2,⾃然⾵の利用手法を選択して省エネルギー効果を評価する,,,,,,,
,,,,,,,,,,,3,換気回数を選択して省エネルギー効果を評価する,,,,,,,
,,〇,,,,,,,その他の居室　高窓の利用の有無,「主たる居室 自然風の利用の有無」=1,1,利用しない,1,1,2,short,,,
,,,,,,,,,,,2,利用する,,,,,,,
,,,〇,,,,,,その他の居室　【手法1】通風経路上の開口部面積の確保,「主たる居室　高窓の利用の有無」=2,1,開⼝部面積を確保していない,1,1,3,short,,,
,,,,,,,,,,,2,開⼝部面積（⼩）の組み合わせを確保している（手法1a）,,,,,,,
,,,,,,,,,,,3,• 開⼝部面積（⼤）の組み合わせを確保している（手法1b）,,,,,,,
,,,〇,,,,,,その他の居室　【手法3】高窓の利用 ,「主たる居室　高窓の利用の有無」=2,1,開⼝部面積を確保していない,1,1,3,short,,,
,,,,,,,,,,,2,開⼝部面積（⼩）の組み合わせを確保している（手法3a）,,,,,,,
,,,,,,,,,,,3,• 開⼝部面積（⼤）の組み合わせを確保している（手法3b）,,,,,,,
,,〇,,,,,,,その他の居室　【手法2】卓越風向に応じた開口部配置,「主たる居室 自然風の利用の有無」=2 かつ 「敷地周辺の密集度」=2,1,適用しない,1,1,2,short,,,
,,,,,,,,,,,2,適用する,,,,,,,
,,〇,,,,,,,その他の居室　換気回数を入力する,「主たる居室 自然風の利用の有無」=3,,,0,0,50,decimal,0,,
外皮,○,,,,,,,ip_houhou,外皮性能の評価方法,,1,当該住宅のすべての外⽪面積や⻑さを用いて評価する,1,1,2,short,,,
,,,,,,,,,,,2,⼤まかな住宅形状から簡易的に求めた外⽪面積や⻑さを用いて評価する,,,,,,,
,,〇,,,,,,ip_yuka_dannetsu,床の断熱方法,「外皮性能の評価方法」=2,1,基礎断熱,1,1,2,short,,,
,,,,,,,,,,,2,床断熱,,,,,,,
,,○,,,,,,bsc_sougaihi_menseki,外皮面積の合計,「外皮性能の評価方法」=1,,,307.51,0.00,5000,decimal,2,m2,
,○,,,,,,,ip_u_value,外皮平均熱貫流率（U値）,,,,0.87,0.00,9.99,decimal,2,W/(m2K),
,○,,,,,,,ss_eta_value,冷房期平均日射熱取得率（ηC値）,,,,2.8,0.0,99.9,decimal,1,,
,○,,,,,,,sw_eta_value,暖房期平均日射熱取得率（ηH値）,,,,4.3,0.0,99.9,decimal,1,,
,○,,,,,,,ip_q_value,単位温度差あたりの外皮熱損失量（q値）,,,,279.8,0.0,1999.9,decimal,1,W/K,
,○,,,,,,,ss_m_value,単位日射強度あたりの冷房期日射熱取得量（mC値）,,,,6.49,0.00,99.99,decimal,2,W/(W/m2),
,○,,,,,,,sw_m_value,単位日射強度あたりの暖房期日射熱取得量（mH値）,,,,12.37,0.00,99.99,decimal,2,W/(W/m2),
蓄熱,○,,,,,,,ts_main,蓄熱の利用(主たる居室),,1,利用しない,1,1,2,short,,,
,,,,,,,,,,,2,利用する,,,,,,,
,○,,,,,,,ts_general,蓄熱の利用(その他の居室),,1,利用しない,,,,,,,
,,,,,,,,,,,2,利用する,,,,,,,
,○,,,,,,,ts_other,蓄熱の利用(非居室),,1,利用しない,,,,,,,
,,,,,,,,,,,2,利用する,,,,,,,
暖房設備,○,,,,,,,hs_houhou,暖房方式の選択,,1,住戸全体を暖房する,2,1,2,short,,,
,,,,,,,,,,,2,居室のみを暖房する,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,○,,,,,,hs_type,暖房設備機器の選択,「暖房方式の選択」=1,1,ダクト式セントラル空調機（ヒートポンプ式熱源）,1,1,1,short,,,今のところ全館連続暖房はこの設備しかないので強制的にこの項目を選択させることになる。
,,,○,,,,,hs_dc_houhou,定格能力および定格消費電力の入力,「暖房設備機器の選択」=1,1,入力しない,,,,,,,
,,,,,,,,,,,2,定格能力および定格消費電力を入力することにより省エネルギー効果を評価する,1,1,2,short,,,
,,,,○,,,,hs_dc_capacity,定格暖房能力,「暖房設備機器の選択」=2,,定格暖房能力,8000,1000,30000,decimal,0,W,
,,,,○,,,,hs_dc_power,定格暖房消費電力,「暖房設備機器の選択」=2,,定格暖房消費電力,2128,100,15000,decimal,0,W,
,,,○,,,,,hs_dc_hosei,風量補正,「暖房設備機器の選択」=1,1,風量補正なし,1,1,2,short,,,
,,,,,,,,,,,2,風量補正あり,,,,,,,
,,,,○,,,,hs_dc_cpl1_value,消費電力量補正係数(風量補正なし),「風量補正」=1,,,1.65,1.00,9.99,decimal,2,-,
,,,,○,,,,hs_dc_cpl2_value,消費電力量補正係数(風量補正あり),「風量補正」=2,,,1.40,1.00,9.99,decimal,2,-,
,,○,,,,,,hs_ldk_type,暖房設備機器または放熱器の選択　主たる居室,「暖房方式の選択」=2,1,温水暖房用床暖房,4,1,10,short,,,
,,,,,,,,,,,2,温水暖房用パネルラジエーター,,,,,,,
,,,,,,,,,,,3,温水暖房用ファンコンベクター,,,,,,,
,,,,,,,,,,,4,ルームエアコンディショナー,,,,,,,
,,,,,,,,,,,5,FF暖房設備,,,,,,,
,,,,,,,,,,,6,電気蓄熱暖房器,,,,,,,
,,,,,,,,,,,7,電気ヒーター床暖房,,,,,,,
,,,,,,,,,,,10,ルームエアコンディショナー付温水床暖房機,,,,,,,
,,,,,,,,,,,9,その他の暖房設備機器,,,,,,,
,,,,,,,,,,,8,暖房設備機器を設置しない,,,,,,,
,,,○,,,,,hs_ldk_aircon_houhou,省エネルギー対策の有無および種類,「暖房設備機器の選択　主たる居室」=4,1,特に省エネルギー対策をしていない,1,1,2,short,,,
,,,,,,,,,,,2,エネルギー消費効率の区分を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,○,,,,hs_ldk_aircon_koukouritsu,エネルギー消費効率の区分,「省エネルギー対策の有無および種類」=2,1,区分（い）,3,1,3,short,,,
,,,,,,,,,,,2,区分（ろ）,,,,,,,
,,,,,,,,,,,3,区分（は）,,,,,,,
,,,,○,,,,hs_ldk_aircon_dualcompressor,容量可変型コンプレッサー,「省エネルギー対策の有無および種類」=2,1,搭載しない,1,1,2,short,,,
,,,,,,,,,,,2,搭載する,,,,,,,
,,,○,,,,,hs_ldk_ff_houhou,省エネルギー対策の有無および種類,「暖房設備機器の選択　主たる居室」=5,1,特に省エネルギー対策をしていない,1,1,2,short,,,
,,,,,,,,,,,2,エネルギー消費効率を入力することにより省エネルギー効果を評価する,,,,,,,
,,,,○,,,,hs_ldk_ff_e,定格能力におけるエネルギー消費効率,「省エネルギー対策の有無および種類」=2,,,86.0,0.0,100.0,decimal,1,%,
,,,○,,,,,hs_ldk_yuka_fusetsu,敷設率,「暖房設備機器の選択　主たる居室」=1,,,50.0,0.1,100,decimal,1,%,
,,,○,,,,,hs_ldk_yuka_dannetsu,床の断熱（上面放熱率）,「暖房設備機器の選択　主たる居室」=1,,,70,1,100,decimal,0,,
,,,○,,,,,hs_ldk_heater_fusetsu,敷設率,「暖房設備機器の選択　主たる居室」=7,,,50.0,0.1,100.0,decimal,1,%,
,,,○,,,,,hs_ldk_heater_dannetsu,床の断熱（上面放熱率）,「暖房設備機器の選択　主たる居室」=7,,,70,1,100,decimal,0,,
,,,○,,,,,hs_ldk_other_name,その他の設備機器の名称,「暖房設備機器の選択　主たる居室」=8,,,-,,,text,,,
,,,○,,,,,hs_ldk_racfh_fusetsu,敷設率,「暖房設備機器の選択　主たる居室」=10,,,50.0,0.1,100.0,decimal,1,%,
,,,○,,,,,hs_ldk_racfh_dannetsu,床の断熱（上面放熱率）,「暖房設備機器の選択　主たる居室」=10,,,70,1,100,decimal,0,,
,,,○,,,,,hs_ldk_racfh_dannetsu_haikan,断熱配管の採用,「暖房設備機器の選択　主たる居室」=10,1,採用する,2,1,2,short,,,
,,,○,,,,,,,,2,採用しない,,,,,,,
,,○,,,,,,hs_nldk_type,暖房設備機器の選択　その他の居室,「暖房方式の選択」=2,1,温水床暖房,-,1,9,short,,,
,,,,,,,,,,,2,パネルラジエータ,,,,,,,
,,,,,,,,,,,3,ファンコンベクタ,,,,,,,
,,,,,,,,,,,4,ルームエアコンディショナー,,,,,,,
,,,,,,,,,,,5,FF暖房設備,,,,,,,
,,,,,,,,,,,6,電気蓄熱暖房器,,,,,,,
,,,,,,,,,,,7,電気ヒーター床暖房,,,,,,,
,,,,,,,,,,,8,暖房設備を設置しない,,,,,,,
,,,,,,,,,,,9,その他の設備・機器,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,==以下、主たる居室と同様の選択肢==,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,○,,,,,hs_onsuiyuka_netsugen,温水暖房機の種類,"「暖房設備／放熱器の選択　主たる居室」=1,2,3 or 「暖房設備／放熱器の選択　その他の居室」=1,2,3",1,温水暖房専用型を使用する,-,1,5,short,,,
,,,,,,,,,,,2,給湯・温水暖房一体型を使用する,,,,,,,
,,,,,,,,,,,3,コージェネレーションを使用する,,,,,,,
,,,,,,,,,,,4,その他の温水暖房機,,,,,,,
,,,,,,,,,,,5,温水暖房機を設置しない,,,,,,,
,,,,○,,,,hs_onsuiyuka_netsugen_senyo,温水暖房専用型,「熱源機の分類」＝1,1,石油従来型温水暖房機,-,1,6,short,,,
,,,,,,,,,,,6,石油潜熱回収型温水暖房機,,,,,,,
,,,,,,,,,,,2,ガス従来型温水暖房機,,,,,,,
,,,,,,,,,,,3,ガス潜熱回収型温水暖房機,,,,,,,
,,,,,,,,,,,4,電気ヒートポンプ温水暖房機（フロン系冷媒）,,,,,,,
,,,,,,,,,,,5,電気ヒーター温水暖房機,,,,,,,
,,,,,○,,,hs_onsuiyuka_oil_houhou,省エネルギー対策の有無および種類,「温水暖房専用型」=1,1,特に省エネルギー対策をしていない,-,1,2,short,,,
,,,,,,,,,,,2,当該機器の仕様から省エネルギー効果を評価する,,,,,,,
,,,,,,○,,hs_onsuiyuka_oil_e,定格能力におけるエネルギー消費効率,「省エネルギー対策の有無および種類」=2,,,82.0,0.0,100.0,decimal,1,%,
,,,,,○,,,hs_onsuiyuka_gas1_houhou,省エネルギー対策の有無および種類,「温水暖房専用型」=2,1,特に省エネルギー対策をしていない,-,1,2,short,,,
,,,,,,,,,,,2,当該機器の仕様から省エネルギー効果を評価する,,,,,,,
,,,,,,○,,hs_onsuiyuka_gas1_e,定格能力におけるエネルギー消費効率,「省エネルギー対策の有無および種類」=2,,,81.0,0.0,100.0,decimal,1,%,
,,,,,○,,,hs_onsuiyuka_gas2_houhou,省エネルギー対策の有無および種類,「暖房専用型熱源の種類」=3,1,特に省エネルギー対策をしていない,-,1,2,short,,,
,,,,,,,,,,,2,当該機器の仕様から省エネルギー効果を評価する,,,,,,,
,,,,,,○,,hs_onsuiyuka_gas2_e,定格能力におけるエネルギー消費効率,「省エネルギー対策の有無および種類」=2,,,87.0,0.0,100.0,decimal,1,%,
,,,,○,,,,hs_onsuiyuka_other_name,その他の温水暖房機の名称,「温水暖房専用型」=4,,,-,,,text,,,
,,,○,,,,,hs_onsuiyuka_dannnetu,断熱配管の採用,"「暖房設備／放熱器の選択　主たる居室」=1,2,3 or 「暖房設備／放熱器の選択　その他の居室」=1,2,3",1,採用する,-,1,2,short,,,
,,,,,,,,,,,2,採用しない,,,,,,,
,,,○,,,,,hs_onsuiyuka_dannnetu_kukaku,配管が通過する空間,"「暖房設備／放熱器の選択　主たる居室」=1,2,3 or 「暖房設備／放熱器の選択　その他の居室」=1,2,3",1,全て断熱区画内である,-,1,2,short,,,
,,,,,,,,,,,2,全てもしくは一部が断熱区画外である,,,,,,,
冷房,○,,,,,,,cs_houhou,冷房方式の選択,,1,住戸全体を冷房する,2,1,3,short,,,
,,,,,,,,,,,2,居室のみを冷房する,,,,,,,
,,,,,,,,,,,3,冷房設備機器を設置しない,,,,,,,
,,○,,,,,,cs_type,冷房設備機器の選択,「冷房方式の選択」=1,1,ダクト式セントラル空調機(ヒートポンプ式熱源),1,1,1,short,,,
,,,○,,,,,cs_dc_houhou,定格能力および定格消費電力の入力,,1,入力しない,,,,,,,
,,,,,,,,,,,2,定格能力および定格消費電力を入力することにより省エネルギー効果を評価する,1,1,2,short,,,
,,,,○,,,,cs_dc_capacity,定格冷房能力,「定格能力および定格消費電力の入力」=2,,定格冷房能力,7100,1000,30000,decimal,0,W,
,,,,○,,,,cs_dc_power,定格冷房消費電力,「定格能力および定格消費電力の入力」=2,,定格冷房消費電力,2240,100,15000,decimal,0,W,
,,,○,,,,,cs_dc_hosei,風量補正,「冷房設備機器の選択」=1,1,風量補正なし,1,1,2,short,,,
,,,,,,,,,,,2,風量補正あり,,,,,,,
,,,,○,,,,cs_dc_cpl1_value,消費電力量補正係数(風量補正なし) ,「風量補正」=1,,,1.69,1.00,9.99,decimal,2,-,
,,,,○,,,,cs_dc_cpl2_value,消費電力量補正係数(風量補正あり) ,「風量補正」=2,,,1.40,1.00,9.99,decimal,2,-,
