Region,Season,Distance,Pos,S,SW,W,NW,N,NE,E,SE
1,Cooling,40,1to3,0.935237398,0.934236424,0.921317348,0.91085418,0.884005307,0.905829147,0.918311695,0.93353935
1,Cooling,25,1to3,0.892316629,0.890394076,0.85229576,0.855142548,0.825510211,0.850820586,0.853804711,0.889053684
1,Cooling,19,1to3,0.853880152,0.850260994,0.788010719,0.803845774,0.772497412,0.795858175,0.797563842,0.847198974
1,Cooling,13,1to3,0.783603193,0.768168104,0.66326971,0.693135343,0.674089356,0.697041538,0.671419955,0.765589446
1,Cooling,9,1to3,0.698503341,0.64044249,0.524621127,0.560054219,0.555593528,0.562588798,0.529398403,0.637952646
1,Cooling,7,1to3,0.631101123,0.514569296,0.42391206,0.447890223,0.464172199,0.458943804,0.433196934,0.51122539
1,Cooling,6,1to3,0.593735519,0.433972555,0.372603393,0.393157881,0.414091871,0.401271872,0.375870604,0.435453667
1,Cooling,5,1to3,0.532320647,0.344279827,0.306341779,0.328613477,0.353337732,0.32660349,0.310055335,0.348679934
1,Cooling,4,1to3,0.415021559,0.252756875,0.242143913,0.245332308,0.281980748,0.244803898,0.252730057,0.254139993
1,Cooling,3,1to3,0.24005159,0.158175811,0.166742709,0.154916998,0.192354795,0.165751409,0.16232924,0.162041115
1,Cooling,2,1to3,0.08467962,0.071373897,0.067356052,0.080053947,0.088145321,0.072902195,0.075251446,0.07935108
1,Cooling,1,1to3,0.02628826,0.021431471,0.030836293,0.024435466,0.03828202,0.027200629,0.022022151,0.02574306
1,Cooling,40,2to3,0.950534334,0.951918108,0.944582033,0.937106369,0.921655976,0.934618367,0.942977942,0.95042839
1,Cooling,25,2to3,0.922813063,0.924361138,0.910542672,0.903126407,0.886015052,0.899128209,0.908216265,0.922471876
1,Cooling,19,2to3,0.896595718,0.898388604,0.874770486,0.868401554,0.852694976,0.867253871,0.875445676,0.896427412
1,Cooling,13,2to3,0.84492474,0.847198344,0.798913588,0.80309248,0.785026197,0.80096034,0.803789773,0.843746115
1,Cooling,9,2to3,0.775894007,0.772995977,0.690381597,0.702517245,0.690612992,0.70759651,0.698375397,0.768710913
1,Cooling,7,2to3,0.7175338,0.697173035,0.597259804,0.617161438,0.608371993,0.621621614,0.600985251,0.695012222
1,Cooling,6,2to3,0.682824127,0.643135534,0.535976063,0.559455821,0.557351307,0.56374349,0.538244751,0.640549694
1,Cooling,5,2to3,0.639912519,0.56460162,0.464813267,0.487381989,0.495597716,0.496649902,0.476652823,0.564318141
1,Cooling,4,2to3,0.58929818,0.459122514,0.38103821,0.402902238,0.420920859,0.412958553,0.382963782,0.457390083
1,Cooling,3,2to3,0.495090844,0.318935532,0.277961011,0.293105105,0.322635756,0.296097945,0.289485612,0.320340477
1,Cooling,2,2to3,0.277387148,0.161928723,0.157292479,0.156119615,0.189545064,0.165684238,0.159100033,0.169491134
1,Cooling,1,2to3,0.052751221,0.053995608,0.051444807,0.060663658,0.067061946,0.05539391,0.058135658,0.053982229
1,Cooling,40,3to3,0.966539834,0.968708269,0.966626002,0.959761632,0.950920456,0.958518691,0.964420394,0.967463002
1,Cooling,25,3to3,0.955620882,0.958853205,0.956146632,0.950243859,0.940290239,0.948659289,0.953803676,0.957288289
1,Cooling,19,3to3,0.944599908,0.948886176,0.945324558,0.939456533,0.929162033,0.937314596,0.943514477,0.94703563
1,Cooling,13,3to3,0.921946026,0.928247863,0.923032113,0.915505984,0.904866204,0.913205675,0.92114752,0.926257547
1,Cooling,9,3to3,0.890670668,0.900466087,0.888484054,0.878992823,0.867060281,0.877290768,0.886980778,0.897902771
1,Cooling,7,3to3,0.862946455,0.874278759,0.849930487,0.843324079,0.829360604,0.842632956,0.850683123,0.870393203
1,Cooling,6,3to3,0.845494109,0.856571995,0.824898943,0.818917186,0.803820821,0.816548895,0.829633273,0.852816096
1,Cooling,5,3to3,0.822111732,0.831700341,0.791273212,0.782021821,0.76975195,0.784097708,0.792298483,0.82794981
1,Cooling,4,3to3,0.790670517,0.794405297,0.735814953,0.738392798,0.721375721,0.74102489,0.742358166,0.789141622
